№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
323;Златоуст ;Челябинская область ;Уральский ;174985;1754
364;Каменск-Уральский ;Свердловская область ;Уральский ;174710;1682
611;Мытищи ;Московская область ;Центральный ;173341;1460
546;Люберцы ;Московская область ;Центральный ;171978;1623
170;Волгодонск ;Ростовская область ;Южный ;170621;1950
680;Новочеркасск ;Ростовская область ;Южный ;169039;1805
2;Абакан ;Хакасия ;Сибирский ;165183;1931
625;Находка ;Приморский край ;Дальневосточный ;159695;1864
1004;Уссурийск ;Приморский край ;Дальневосточный ;157946;1866
96;Березники ;Пермский край ;Приволжский ;156350;1932
820;Салават ;Башкортостан ;Приволжский ;156085;1948
1089;Электросталь ;Московская область ;Центральный ;155324;1916
583;Миасс ;Челябинская область ;Уральский ;151812;1773
736;Первоуральск ;Свердловская область ;Уральский ;149800;1732
395;Керчь ;Крым ;Южный ;147033;7 — 6 век до н. э.
810;Рубцовск ;Алтайский край ;Сибирский ;146386;1892
25;Альметьевск ;Татарстан ;Приволжский ;146309;18 век
423;Ковров ;Владимирская область ;Центральный ;145492;12 век
432;Коломна ;Московская область ;Центральный ;144642;1177
553;Майкоп ;Адыгея ;Южный ;144055;1857
793;Пятигорск ;Ставропольский край ;Северо-Кавказский ;142397;1780
698;Одинцово ;Московская область ;Центральный ;139021;1470
442;Копейск ;Челябинская область ;Уральский ;137604;1907
1027;Хасавюрт ;Дагестан ;Северо-Кавказский ;133929;1846
667;Новомосковск ;Тульская область ;Центральный ;131227;1930
418;Кисловодск ;Ставропольский край ;Северо-Кавказский ;128502;1803
861;Серпухов ;Московская область ;Центральный ;126496;1339
679;Новочебоксарск ;Чувашия ;Приволжский ;124094;1960
639;Нефтеюганск ;Ханты-Мансийский АО — Югра ;Уральский ;123276;1961
253;Димитровград ;Ульяновская область ;Приволжский ;122549;1698
637;Нефтекамск ;Башкортостан ;Приволжский ;121757;1957
1050;Черкесск ;Карачаево-Черкесия ;Северо-Кавказский ;121439;1825
714;Орехово-Зуево ;Московская область ;Центральный ;120620;1917
246;Дербент ;Дагестан ;Северо-Кавказский ;119961;438
369;Камышин ;Волгоградская область ;Южный ;119924;1668
628;Невинномысск ;Ставропольский край ;Северо-Кавказский ;118351;1825
464;Красногорск ;Московская область ;Центральный ;116738;1932
608;Муром ;Владимирская область ;Центральный ;116078;862
75;Батайск ;Ростовская область ;Южный ;112400;1938
681;Новошахтинск ;Ростовская область ;Южный ;111087;1910
858;Сергиев Посад ;Московская область ;Центральный ;110878;1337
687;Ноябрьск ;Ямало-Ненецкий АО ;Уральский ;110572;1976
1085;Щёлково ;Московская область ;Центральный ;110380;16 век
508;Кызыл ;Тыва ;Сибирский ;109906;1914
703;Октябрьский ;Башкортостан ;Приволжский ;109379;1946
55;Ачинск ;Красноярский край ;Сибирский ;109156;1683
848;Северск ;Томская область ;Сибирский ;108466;1949
665;Новокуйбышевск ;Самарская область ;Приволжский ;108449;1946
277;Елец ;Липецкая область ;Центральный ;108404;1146
40;Арзамас ;Нижегородская область ;Приволжский ;106367;1552
272;Евпатория ;Крым ;Южный ;105719;497 год до н. э.
695;Обнинск ;Калужская область ;Центральный ;104798;1946
683;Новый Уренгой ;Ямало-Ненецкий АО ;Уральский ;104144;1975
386;Каспийск ;Дагестан ;Северо-Кавказский ;103914;1932
1091;Элиста ;Калмыкия ;Южный ;103728;1865
789;Пушкино ;Московская область ;Центральный ;102840;1499
297;Жуковский ;Московская область ;Центральный ;102729;1947
46;Артём ;Приморский край ;Дальневосточный ;102636;1924
576;Междуреченск ;Кемеровская область ;Сибирский ;101995;1946
522;Ленинск-Кузнецкий ;Кемеровская область ;Сибирский ;101666;1763
827;Сарапул ;Удмуртия ;Приволжский ;101390;1621
285;Ессентуки ;Ставропольский край ;Северо-Кавказский ;100969;1825
185;Воткинск ;Удмуртия ;Приволжский ;100034;1759
684;Ногинск ;Московская область ;Центральный ;99762;1389
960;Тобольск ;Тюменская область ;Уральский ;99698;1587
1012;Ухта ;Коми ;Северо-Западный ;99642;1929
860;Серов ;Свердловская область ;Уральский ;99381;1893
95;Бердск ;Новосибирская область ;Сибирский ;98809;1944
144;Великие Луки ;Псковская область ;Северо-Западный ;98778;1166
595;Мичуринск ;Тамбовская область ;Центральный ;98758;1635
417;Киселёвск ;Кемеровская область ;Сибирский ;98382;1917
674;Новотроицк ;Оренбургская область ;Приволжский ;97914;1920
318;Зеленодольск ;Татарстан ;Приволжский ;97651;1865
885;Соликамск ;Пермский край ;Приволжский ;97239;1430
797;Раменское ;Московская область ;Центральный ;96355;1378
261;Домодедово ;Московская область ;Центральный ;96123;1900
550;Магадан ;Магаданская область ;Дальневосточный ;95925;1929
209;Глазов ;Удмуртия ;Приволжский ;95835;1678
365;Каменск-Шахтинский ;Ростовская область ;Южный ;95306;1671
289;Железногорск ;Курская область ;Центральный ;95057;1957
373;Канск ;Красноярский край ;Сибирский ;94230;1636
618;Назрань ;Ингушетия ;Северо-Кавказский ;93357;1781
204;Гатчина ;Ленинградская область ;Северо-Западный ;92566;1499
829;Саров ;Нижегородская область ;Приволжский ;92073;1691
677;Новоуральск ;Свердловская область ;Уральский ;91813;1941
184;Воскресенск ;Московская область ;Центральный ;91301;1862
